isoform	Chromosome 	Strand	 txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	Hugo	alignID	Canonical	length	effective_length	tx_expected_count	txTPM	txFPKM	IsoPct	gene_expected_count	geneTPM	geneFPKM
NM_015657.3	2	-	215796265	215896810	215797357	215896651	45	"215796265,215798801,215802233,215807648,215809724,215812145,215813319,215813763,215815602,215818577,215819925,215821386,215823000,215823747,215831571,215833443,215834996,215838672,215839501,215840508,215843039,215843527,215845206,215846910,215848370,215851265,215852370,215854052,215854275,215855425,215862418,215865428,215866281,215868932,215872450,215875054,215876162,215876694,215880213,215882731,215884059,215884263,215890396,215891543,215896544,"	"215797465,215798939,215802339,215807741,215809828,215812280,215813461,215813873,215815807,215818831,215820085,215821502,215823178,215823802,215831677,215833531,215835124,215838766,215839588,215840761,215843190,215843764,215845367,215847107,215848589,215851452,215852517,215854187,215854345,215855755,215862533,215865744,215866461,215869023,215872570,215875194,215876373,215876859,215880387,215882856,215884172,215884520,215890503,215891662,215896810,"	ABCA12	NM_015657.3	0	8085	7948.54	0.00	0.00	0.00	0.00	6648.00	25.53	14.11
NM_173076.2	2	-	215796265	216003151	215797357	216002931	53	"215796265,215798801,215802233,215807648,215809724,215812145,215813319,215813763,215815602,215818577,215819925,215821386,215823000,215823747,215831571,215833443,215834996,215838672,215839501,215840508,215843039,215843527,215845206,215846910,215848370,215851265,215852370,215854052,215854275,215855425,215862418,215865428,215866281,215868932,215872450,215875054,215876162,215876694,215880213,215882731,215884059,215884263,215890396,215891543,215896544,215901676,215910560,215914349,215917210,215919296,215928788,215976319,216002862,"	"215797465,215798939,215802339,215807741,215809828,215812280,215813461,215813873,215815807,215818831,215820085,215821502,215823178,215823802,215831677,215833531,215835124,215838766,215839588,215840761,215843190,215843764,215845367,215847107,215848589,215851452,215852517,215854187,215854345,215855755,215862533,215865744,215866461,215869023,215872570,215875194,215876373,215876859,215880387,215882856,215884172,215884520,215890503,215891662,215896620,215901789,215910739,215914535,215917308,215919388,215928942,215976413,216003151,"	ABCA12	NM_173076.2	1	9100	8963.54	6648.00	25.53	14.11	100.00	6648.00	25.53	14.11
NR_103740.1	2	-	215796265	216003151	216003151	216003151	55	"215796265,215798801,215802233,215807648,215809724,215812145,215813319,215813763,215815602,215818577,215819925,215821386,215823000,215823747,215831571,215833443,215834996,215838672,215839501,215840508,215843039,215843527,215845206,215846910,215848370,215851265,215852370,215854052,215854275,215855425,215862418,215864511,215865428,215866281,215868932,215872450,215875054,215876162,215876694,215880213,215882731,215884059,215884263,215890396,215891543,215896544,215901676,215910560,215914349,215915517,215917210,215919296,215928788,215976319,216002862,"	"215797465,215798939,215802339,215807741,215809828,215812280,215813461,215813873,215815807,215818831,215820085,215821502,215823178,215823802,215831677,215833531,215835124,215838766,215839588,215840761,215843190,215843764,215845367,215847107,215848589,215851452,215852517,215854187,215854345,215855755,215862533,215864567,215865744,215866461,215869023,215872570,215875194,215876373,215876859,215880387,215882856,215884172,215884520,215890503,215891662,215896620,215901789,215910739,215914535,215915541,215917308,215919388,215928942,215976413,216003151,"	ABCA12	NR_103740.1	0	9180	9043.54	0.00	0.00	0.00	0.00	6648.00	25.53	14.11
NM_152701.4	7	+	48211056	48687091	48211080	48685108	62	"48211056,48232555,48237833,48258950,48260877,48266858,48269421,48273614,48278837,48280463,48284172,48285108,48285459,48287835,48288808,48308576,48311383,48317690,48320939,48327556,48335296,48336828,48337962,48349543,48352663,48353828,48356753,48375018,48377961,48390239,48391777,48407390,48411764,48413943,48416037,48427418,48428636,48431517,48443279,48450116,48451949,48467362,48494633,48506552,48511126,48520632,48522672,48528832,48545931,48547467,48550679,48556320,48559636,48563843,48567831,48619819,48626749,48634305,48654880,48682883,48684212,48685012,"	"48211149,48232649,48237957,48259102,48260906,48267022,48269552,48273748,48279002,48280663,48284300,48285209,48285627,48288041,48288948,48308691,48316162,48319517,48321049,48327675,48335460,48336908,48338084,48349738,48352828,48354006,48356893,48375132,48378052,48390416,48392084,48407505,48412094,48414013,48416169,48427556,48428817,48431736,48443476,48450274,48452180,48467468,48494883,48506642,48511196,48520751,48522760,48528941,48545986,48547645,48550795,48556477,48559890,48564036,48567941,48619970,48626884,48634409,48654973,48682989,48684350,48687091,"	ABCA13	NM_152701.4	1	17184	17047.54	80.08	0.16	0.09	100.00	80.08	0.16	0.09
NR_003574.1	16	+	2390922	2476700	2476700	2476700	17	"2390922,2411116,2415681,2416962,2420338,2423954,2429428,2436104,2445840,2454067,2456603,2460176,2460621,2472580,2474578,2474977,2475559,"	"2391374,2411201,2415809,2417125,2420598,2424071,2429582,2436257,2445939,2454229,2456910,2460450,2460826,2472768,2474768,2475087,2476700,"	ABCA17P	NR_003574.1	0	4188	4051.54	6.00	0.05	0.03	100.00	6.00	0.05	0.03
NM_001606.4	9	-	139901685	139922740	139902380	139922592	49	"139901685,139902867,139903182,139903402,139903821,139903992,139904220,139904434,139904644,139905071,139905424,139905637,139905858,139906085,139906295,139906553,139906716,139906936,139907163,139907453,139907912,139908283,139908619,139909141,139909364,139909865,139910126,139910413,139910742,139911025,139911371,139911647,139911953,139912238,139912424,139912629,139913170,139913354,139913629,139914787,139915145,139915843,139916342,139916802,139917153,139917392,139917509,139918594,139922526,"	"139902416,139903074,139903320,139903505,139903914,139904096,139904355,139904576,139904823,139905189,139905557,139905761,139906006,139906201,139906470,139906614,139906828,139907042,139907377,139907770,139908015,139908490,139908856,139909262,139909549,139910048,139910323,139910626,139910923,139911190,139911576,139911798,139912144,139912353,139912527,139912803,139913267,139913522,139913758,139914947,139915513,139916062,139916453,139916930,139917317,139917504,139917512,139918688,139922740,"	ABCA2	NM_001606.4	0	8154	8017.54	648.00	2.78	1.54	100.00	648.00	2.78	1.54
NM_212533.2	9	-	139901685	139923374	139902380	139923324	49	"139901685,139902867,139903182,139903402,139903821,139903992,139904220,139904434,139904644,139905071,139905424,139905637,139905858,139906085,139906295,139906553,139906716,139906936,139907163,139907453,139907912,139908283,139908619,139909141,139909364,139909865,139910126,139910413,139910742,139911025,139911371,139911647,139911953,139912238,139912424,139912629,139913170,139913354,139913629,139914787,139915145,139915843,139916342,139916802,139917153,139917392,139917509,139918594,139923168,"	"139902416,139903074,139903320,139903505,139903914,139904096,139904355,139904576,139904823,139905189,139905557,139905761,139906006,139906201,139906470,139906614,139906828,139907042,139907377,139907770,139908015,139908490,139908856,139909262,139909549,139910048,139910323,139910626,139910923,139911190,139911576,139911798,139912144,139912353,139912527,139912803,139913267,139913522,139913758,139914947,139915513,139916062,139916453,139916930,139917317,139917504,139917512,139918688,139923374,"	ABCA2	NM_212533.2	1	8146	8009.54	0.00	0.00	0.00	0.00	648.00	2.78	1.54
NM_001089.2	16	-	2325878	2390747	2326674	2376467	33	"2325878,2327597,2327879,2328288,2328943,2331027,2331381,2333186,2334279,2334779,2335442,2336694,2338026,2339434,2342140,2345590,2347329,2347766,2348386,2349403,2350005,2353969,2358450,2367283,2367648,2369581,2373523,2374404,2376010,2376413,2378453,2379648,2390573,"	"2326806,2327671,2328070,2328459,2329131,2331222,2331510,2333359,2334438,2334999,2335647,2336968,2338330,2339621,2342239,2345741,2347540,2347922,2348541,2349533,2350149,2354151,2358624,2367404,2367765,2369841,2373689,2374532,2376275,2376493,2378758,2379855,2390747,"	ABCA3	NM_001089.2	1	6623	6486.54	20.00	0.11	0.06	100.00	20.00	0.11	0.06
NM_000350.2	1	-	94458393	94586705	94458792	94586601	50	"94458393,94461664,94463416,94466391,94466557,94467413,94470996,94473189,94473790,94474306,94476355,94476817,94480098,94481294,94485137,94486795,94487195,94487401,94488941,94490509,94495000,94495983,94496551,94497333,94502295,94502700,94505598,94506764,94508316,94508891,94510168,94512474,94514423,94517188,94520666,94522156,94526092,94528132,94528667,94543245,94544145,94544877,94546033,94548907,94564349,94568570,94574132,94576993,94578528,94586535,"	"94458798,94461751,94463666,94466484,94466661,94467548,94471138,94473296,94473853,94474427,94476485,94476941,94480246,94481410,94485315,94486965,94487270,94487507,94488974,94490604,94495187,94496082,94496676,94497599,94502344,94502906,94505683,94506958,94508454,94509031,94510300,94512649,94514513,94517254,94520871,94522378,94526315,94528309,94528873,94543443,94544262,94545017,94546274,94548997,94564547,94568698,94574272,94577135,94578622,94586705,"	ABCA4	NM_000350.2	1	7325	7188.54	9.00	0.04	0.02	100.00	9.00	0.04	0.02
NM_018672.4	17	-	67240575	67311774	67243677	67310556	38	"67240575,67244402,67246045,67246612,67247887,67249713,67249934,67250455,67251683,67251873,67252297,67255846,67256478,67257265,67257775,67260875,67264083,67266753,67267302,67270099,67273781,67280093,67282038,67282361,67283753,67285317,67286002,67287356,67290795,67293331,67297279,67298858,67300809,67302865,67304420,67305402,67309232,67310454,"	"67243785,67244458,67246125,67246762,67248007,67249808,67250010,67250631,67251775,67251991,67252424,67255938,67256553,67257400,67257889,67261046,67264197,67266891,67267430,67270269,67273983,67280213,67282178,67282452,67283892,67285437,67286178,67287467,67290854,67293500,67297427,67299047,67300951,67303095,67304509,67305564,67309437,67311774,"	ABCA5	NM_018672.4	0	9249	9112.54	1002.30	3.79	2.09	89.34	1107.79	4.24	2.34
NM_172232.3	17	-	67240575	67323323	67243677	67310556	39	"67240575,67244402,67246045,67246612,67247887,67249713,67249934,67250455,67251683,67251873,67252297,67255846,67256478,67257265,67257775,67260875,67264083,67266753,67267302,67270099,67273781,67280093,67282038,67282361,67283753,67285317,67286002,67287356,67290795,67293331,67297279,67298858,67300809,67302865,67304420,67305402,67309232,67310454,67323192,"	"67243785,67244458,67246125,67246762,67248007,67249808,67250010,67250631,67251775,67251991,67252424,67255938,67256553,67257400,67257889,67261046,67264197,67266891,67267430,67270269,67273983,67280213,67282178,67282452,67283892,67285437,67286178,67287467,67290854,67293500,67297427,67299047,67300951,67303095,67304509,67305564,67309437,67310571,67323323,"	ABCA5	NM_172232.3	1	8177	8040.54	105.49	0.45	0.25	10.66	1107.79	4.24	2.34
NM_080284.2	17	-	67074846	67138015	67075113	67136844	39	"67074846,67075350,67077206,67079013,67079352,67080401,67080572,67081168,67081765,67082758,67083493,67084307,67085605,67087283,67092380,67092768,67094060,67096937,67098975,67101602,67102168,67103836,67106941,67108323,67109362,67109758,67110902,67111516,67114038,67119379,67121028,67124759,67125750,67129781,67130779,67132232,67133436,67136748,67137885,"	"67075215,67075406,67077286,67079154,67079472,67080496,67080648,67081323,67081857,67082876,67083614,67084399,67085683,67087403,67092494,67092942,67094168,67097075,67099109,67101769,67102352,67103953,67107081,67108414,67109501,67109878,67111078,67111627,67114097,67119548,67121176,67124945,67125892,67130008,67130883,67132391,67133641,67136889,67138015,"	ABCA6	NM_080284.2	1	5296	5159.54	18.00	0.12	0.07	100.00	18.00	0.12	0.07
NM_019112.3	19	+	1040101	1065570	1041360	1065424	47	"1040101,1041223,1041508,1041829,1042062,1042313,1042744,1043039,1043332,1043723,1044575,1045000,1046228,1046800,1047155,1047451,1048893,1049264,1050919,1051153,1051447,1051940,1052212,1053327,1053786,1054004,1054191,1054568,1054778,1055095,1055905,1056064,1056328,1056905,1057312,1057913,1058144,1058616,1058818,1059021,1061780,1062170,1063542,1063758,1064159,1064929,1065268,"	"1040195,1041426,1041602,1041971,1042175,1042396,1042825,1043250,1043472,1043840,1044743,1045230,1046405,1047023,1047377,1047653,1049004,1049436,1051051,1051293,1051585,1052125,1052285,1053530,1053835,1054109,1054340,1054693,1054877,1055350,1055938,1056242,1056498,1057083,1057428,1058058,1058268,1058746,1058939,1059084,1061887,1062312,1063677,1063862,1064252,1065170,1065570,"	ABCA7	NM_019112.3	1	6818	6681.54	2314.00	11.92	6.59	100.00	2314.00	11.92	6.59
NM_001288985.1	17	-	66863427	66951533	66864225	66938175	40	"66863427,66864441,66865840,66871400,66871754,66872600,66872768,66873659,66877260,66878003,66878739,66879931,66880471,66881336,66883157,66883476,66887629,66890313,66891020,66898853,66899441,66902184,66903880,66913501,66914187,66914567,66915441,66917522,66918382,66920841,66924056,66925189,66925701,66928428,66929308,66933091,66936898,66938079,66945452,66951359,"	"66864324,66864497,66865920,66871541,66871874,66872695,66872844,66873820,66877352,66878121,66878860,66880023,66880537,66881456,66883271,66883647,66887737,66890451,66891154,66899020,66899640,66902304,66904020,66913592,66914326,66914687,66915617,66917633,66918441,66921010,66924204,66925375,66925843,66928655,66929412,66933256,66937103,66938180,66945613,66951533,"	ABCA8	NM_001288985.1	1	6004	5867.54	0.00	0.00	0.00	0.00	2.00	0.01	0.01
NM_001288986.1	17	-	66863427	66951533	66864225	66938175	39	"66863427,66864441,66865840,66871400,66871754,66872600,66872768,66873659,66877260,66878003,66878739,66879931,66880471,66881336,66883157,66883476,66887629,66890313,66891020,66898853,66899441,66902184,66903880,66913501,66914187,66914567,66915441,66917522,66918382,66920841,66924056,66925189,66925701,66928428,66929308,66933091,66936898,66938079,66951359,"	"66864324,66864497,66865920,66871541,66871874,66872695,66872844,66873820,66877352,66878121,66878845,66880023,66880537,66881456,66883271,66883647,66887737,66890451,66891154,66899020,66899640,66902304,66904020,66913592,66914326,66914687,66915617,66917633,66918441,66921010,66924204,66925375,66925843,66928655,66929412,66933256,66937103,66938180,66951533,"	ABCA8	NM_001288986.1	0	5828	5691.54	0.00	0.00	0.00	0.00	2.00	0.01	0.01
NM_007168.3	17	-	66863427	66951533	66864225	66938175	38	"66863427,66864441,66865840,66871400,66871754,66872600,66872768,66873659,66877260,66878003,66878739,66879931,66880471,66881336,66883157,66883476,66887629,66890313,66891020,66898853,66899441,66902184,66903880,66913501,66914187,66915441,66917522,66918382,66920841,66924056,66925189,66925701,66928428,66929308,66933091,66936898,66938079,66951359,"	"66864324,66864497,66865920,66871541,66871874,66872695,66872844,66873820,66877352,66878121,66878860,66880023,66880537,66881456,66883271,66883647,66887737,66890451,66891154,66899020,66899640,66902304,66904020,66913592,66914326,66915617,66917633,66918441,66921010,66924204,66925375,66925843,66928655,66929412,66933256,66937103,66938180,66951533,"	ABCA8	NM_007168.3	0	5723	5586.54	2.00	0.01	0.01	100.00	2.00	0.01	0.01
NM_080283.3	17	-	66970772	67057136	66972055	67047267	39	"66970772,66972275,66978702,66979849,66980196,66981025,66981193,66982304,66985167,66985953,66986977,66988315,66989156,66992035,67003899,67004202,67008116,67012393,67013796,67014553,67016528,67017882,67020354,67022517,67023116,67023470,67023780,67024675,67025309,67028248,67029866,67031386,67031800,67039629,67040637,67041312,67045423,67047171,67057006,"	"66972154,66972331,66978782,66979990,66980316,66981120,66981269,66982465,66985259,66986071,66987098,66988407,66989225,66992155,67004013,67004376,67008224,67012531,67013930,67014720,67016727,67018002,67020494,67022608,67023255,67023590,67023956,67024786,67025368,67028417,67030014,67031572,67031942,67039856,67040741,67041477,67045631,67047280,67057136,"	ABCA9	NM_080283.3	1	6301	6164.54	151.94	0.85	0.47	100.00	151.94	0.85	0.47
NR_126414.1	17	+	67000854	67014464	67014464	67014464	4	"67000854,67008123,67008392,67014244,"	"67000934,67008244,67008494,67014464,"	ABCA9-AS1	NR_126414.1	0	523	386.56	1.02	0.09	0.05	100.00	1.02	0.09	0.05
NM_000927.4	7	-	87133178	87342639	87133558	87229500	29	"87133178,87135212,87138590,87144546,87145824,87148641,87150091,87160609,87165773,87168583,87170672,87173444,87174138,87175178,87178663,87179166,87179486,87179783,87180040,87183076,87190578,87195385,87196100,87199487,87214827,87225081,87229432,87230070,87342476,"	"87133765,87135359,87138797,87144744,87145981,87148782,87150192,87160813,87165857,87168661,87170780,87173591,87174315,87175340,87178834,87179370,87179612,87179894,87180154,87183248,87190703,87195557,87196292,87199539,87214996,87225130,87229506,87230394,87342639,"	ABCB1	NM_000927.4	1	4716	4579.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_012089.2	1	-	229652328	229694442	229653925	229694399	13	"229652328,229654587,229657338,229661682,229662975,229665945,229667382,229675202,229676352,229677983,229683245,229684980,229693882,"	"229654157,229654622,229657382,229661863,229663055,229666155,229667478,229675338,229676499,229678118,229683448,229685181,229694442,"	ABCB10	NM_012089.2	1	3857	3720.54	1082.00	10.01	5.53	100.00	1082.00	10.01	5.53
NM_003742.2	2	-	169779448	169887833	169780131	169874635	28	"169779448,169781166,169783665,169787174,169788886,169791693,169792739,169801114,169801366,169814473,169820715,169824936,169825859,169826554,169828356,169830224,169833086,169836375,169842619,169847310,169850220,169851858,169853144,169869781,169870812,169873287,169874559,169887734,"	"169780332,169781313,169783872,169787372,169789043,169791935,169792943,169801276,169801471,169814638,169820818,169825000,169826061,169826725,169828560,169830350,169833197,169836489,169842794,169847435,169850392,169851992,169853232,169870020,169870864,169873309,169874662,169887833,"	ABCB11	NM_003742.2	1	4775	4638.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NM_000443.3	7	-	87031360	87105019	87031411	87104781	28	"87031360,87032450,87035603,87037352,87038551,87041208,87042932,87046627,87047852,87049313,87051436,87053221,87056065,87060719,87068982,87069514,87072634,87072978,87074177,87076349,87079283,87080938,87082259,87083850,87092073,87101936,87104701,87104949,"	"87031618,87032597,87035810,87037550,87038708,87041349,87043033,87046831,87047936,87049391,87051541,87053368,87056236,87060881,87069153,87069718,87072760,87073089,87074291,87076521,87079408,87081110,87082451,87083908,87092224,87101991,87104787,87105019,"	ABCB4	NM_000443.3	0	3967	3830.54	0.00	0.00	0.00	0.00	3.00	0.03	0.02
NM_018849.2	7	-	87031360	87105019	87031411	87104781	28	"87031360,87032450,87035603,87037352,87038551,87041208,87042932,87046627,87047852,87049313,87051436,87053221,87056065,87060719,87068982,87069514,87072634,87072978,87074177,87076349,87079283,87080938,87082259,87083850,87092073,87101936,87104701,87104949,"	"87031618,87032597,87035831,87037550,87038708,87041349,87043033,87046831,87047936,87049391,87051541,87053368,87056236,87060881,87069153,87069718,87072760,87073089,87074291,87076521,87079408,87081110,87082451,87083908,87092224,87101991,87104787,87105019,"	ABCB4	NM_018849.2	1	3988	3851.54	0.00	0.00	0.00	0.00	3.00	0.03	0.02
NM_018850.2	7	-	87031360	87105019	87031411	87104781	27	"87031360,87032450,87035603,87037352,87038551,87042932,87046627,87047852,87049313,87051436,87053221,87056065,87060719,87068982,87069514,87072634,87072978,87074177,87076349,87079283,87080938,87082259,87083850,87092073,87101936,87104701,87104949,"	"87031618,87032597,87035810,87037550,87038708,87043033,87046831,87047936,87049391,87051541,87053368,87056236,87060881,87069153,87069718,87072760,87073089,87074291,87076521,87079408,87081110,87082451,87083908,87092224,87101991,87104787,87105019,"	ABCB4	NM_018850.2	0	3826	3689.54	3.00	0.03	0.02	100.00	3.00	0.03	0.02
NM_001163941.1	7	+	20655244	20796637	20662908	20795247	28	"20655244,20662887,20666179,20668310,20671681,20682806,20683083,20685378,20685583,20687157,20687590,20689644,20691042,20698128,20721127,20725318,20738029,20739447,20739680,20744346,20762638,20766662,20767937,20778605,20782499,20784854,20792982,20795049,"	"20655460,20662961,20666234,20668461,20671736,20682998,20683255,20685503,20685761,20687271,20687701,20689770,20691246,20698299,20721289,20725459,20738173,20739552,20739758,20744430,20762842,20766763,20768078,20778762,20782697,20785061,20793129,20796637,"	ABCB5	NM_001163941.1	1	5401	5264.54	3.60	0.02	0.01	0.97	212.57	2.43	1.34
NM_001163942.1	7	+	20686965	20700017	20691045	20698712	6	"20686965,20687590,20689644,20691042,20698128,20698688,"	"20687271,20687701,20689770,20691246,20698299,20700017,"	ABCB5	NM_001163942.1	0	2247	2110.54	86.98	1.42	0.78	58.31	212.57	2.43	1.34
NM_001163993.2	7	+	20686965	20707187	20691045	20706390	6	"20686965,20687590,20689644,20691042,20698128,20706381,"	"20687271,20687701,20689770,20691246,20698299,20707187,"	ABCB5	NM_001163993.2	0	1724	1587.54	0.00	0.00	0.00	0.00	212.57	2.43	1.34
NM_178559.5	7	+	20686965	20796637	20691045	20795247	19	"20686965,20687590,20689644,20691042,20698128,20721127,20725318,20738029,20739447,20739680,20744346,20762638,20766662,20767937,20778605,20782499,20784854,20792982,20795049,"	"20687271,20687701,20689770,20691246,20698299,20721289,20725459,20738173,20739552,20739758,20744430,20762842,20766763,20768078,20778762,20782697,20785061,20793129,20796637,"	ABCB5	NM_178559.5	0	4375	4238.54	121.99	0.99	0.55	40.72	212.57	2.43	1.34
NM_005689.2	2	-	220074487	220083712	220074659	220083395	19	"220074487,220074951,220075102,220075432,220075655,220077108,220077729,220077962,220078160,220078311,220078547,220078842,220079110,220079682,220080718,220081085,220081373,220082391,220082846,"	"220074768,220075020,220075197,220075545,220075830,220077213,220077787,220078048,220078224,220078388,220078673,220078908,220079220,220079804,220080902,220081187,220081554,220082529,220083712,"	ABCB6	NM_005689.2	1	3018	2881.54	962.00	11.49	6.35	100.00	962.00	11.49	6.35
NM_001271696.1	X	-	74273006	74376175	74273204	74376107	16	"74273006,74280057,74282162,74284904,74288841,74289125,74290199,74291343,74293523,74293702,74295196,74296356,74318776,74332720,74334588,74375939,"	"74273420,74280165,74282266,74285076,74288971,74289289,74290357,74291518,74293611,74293791,74295465,74296489,74318896,74332807,74334666,74376175,"	ABCB7	NM_001271696.1	0	2525	2388.54	427.32	6.16	3.40	49.45	863.00	12.45	6.88
NM_001271697.1	X	-	74273006	74376175	74273204	74376107	15	"74273006,74280057,74282162,74284904,74288841,74289125,74290199,74291343,74293523,74293702,74295196,74296356,74332720,74334588,74375939,"	"74273420,74280165,74282266,74285076,74288971,74289289,74290357,74291518,74293611,74293791,74295465,74296489,74332807,74334666,74376175,"	ABCB7	NM_001271697.1	0	2405	2268.54	0.00	0.00	0.00	0.00	863.00	12.45	6.88
NM_001271698.1	X	-	74273006	74376175	74273204	74376107	15	"74273006,74280057,74282162,74284904,74288841,74289125,74290199,74291343,74293523,74293702,74295196,74296356,74318776,74332720,74375939,"	"74273420,74280165,74282266,74285076,74288971,74289289,74290357,74291518,74293611,74293791,74295465,74296489,74318896,74332807,74376175,"	ABCB7	NM_001271698.1	0	2447	2310.54	50.46	0.75	0.42	6.04	863.00	12.45	6.88
NM_001271699.1	X	-	74273006	74376175	74273204	74376107	15	"74273006,74280057,74282162,74284904,74288841,74289125,74290199,74291343,74293523,74293702,74295196,74296356,74332720,74334588,74375939,"	"74273420,74280165,74282266,74285076,74288971,74289289,74290357,74291518,74293611,74293791,74295465,74296489,74332807,74334669,74376175,"	ABCB7	NM_001271699.1	0	2408	2271.54	0.00	0.00	0.00	0.00	863.00	12.45	6.88
NM_004299.4	X	-	74273006	74376175	74273204	74376107	16	"74273006,74280057,74282162,74284904,74288841,74289125,74290199,74291343,74293523,74293702,74295196,74296356,74318776,74332720,74334588,74375939,"	"74273420,74280165,74282266,74285076,74288971,74289289,74290357,74291518,74293611,74293791,74295465,74296489,74318896,74332807,74334669,74376175,"	ABCB7	NM_004299.4	1	2528	2391.54	385.22	5.54	3.06	44.52	863.00	12.45	6.88
NM_001282291.1	7	+	150725508	150744869	150725602	150742436	17	"150725508,150728327,150730691,150731359,150731591,150731810,150732667,150732968,150733159,150733630,150737354,150737584,150737914,150738185,150739047,150741057,150742295,"	"150725697,150728378,150731004,150731515,150731686,150731916,150732829,150733054,150733257,150733736,150737388,150737721,150738009,150738319,150739195,150741308,150744869,"	ABCB8	NM_001282291.1	1	4735	4598.54	44.96	0.34	0.19	2.10	2109.00	16.03	8.86
NM_001282292.1	7	+	150725508	150744869	150725602	150742436	16	"150725508,150730691,150731359,150731591,150731810,150732667,150732968,150733159,150733630,150737354,150737584,150737914,150738185,150739047,150741057,150742295,"	"150725697,150731004,150731515,150731686,150731916,150732829,150733054,150733257,150733736,150737388,150737721,150738009,150738319,150739195,150741233,150744869,"	ABCB8	NM_001282292.1	0	4609	4472.54	0.00	0.00	0.00	0.00	2109.00	16.03	8.86
NM_001282293.1	7	+	150725508	150744869	150725553	150742436	15	"150725508,150731359,150731591,150731810,150732667,150732968,150733159,150733630,150737354,150737584,150737914,150738185,150739047,150741057,150742295,"	"150725697,150731515,150731686,150731916,150732829,150733054,150733257,150733736,150737388,150737721,150738009,150738319,150739195,150741308,150744869,"	ABCB8	NM_001282293.1	0	4371	4234.54	126.83	1.03	0.57	6.43	2109.00	16.03	8.86
NM_007188.4	7	+	150725508	150744869	150725602	150742436	16	"150725508,150730691,150731359,150731591,150731810,150732667,150732968,150733159,150733630,150737354,150737584,150737914,150738185,150739047,150741057,150742295,"	"150725697,150731004,150731515,150731686,150731916,150732829,150733054,150733257,150733736,150737388,150737721,150738009,150738319,150739195,150741308,150744869,"	ABCB8	NM_007188.4	0	4684	4547.54	1937.21	14.66	8.10	91.47	2109.00	16.03	8.86
NM_001243014.1	12	-	123405497	123451056	123405584	123444782	12	"123405497,123416738,123419818,123424657,123425353,123428937,123430571,123433170,123434334,123434997,123444181,123450833,"	"123405590,123416875,123419978,123424831,123425542,123429066,123430769,123433376,123434465,123435112,123444869,123451056,"	ABCB9	NM_001243014.1	1	2443	2306.54	47.05	0.70	0.39	16.69	386.00	4.21	2.33
NM_203444.3	12	-	123409071	123451056	123409345	123444782	12	"123409071,123416738,123419818,123424657,123425353,123428937,123430571,123433170,123434334,123434997,123444181,123450833,"	"123409357,123416875,123419978,123424831,123425542,123429066,123430769,123433376,123434465,123435112,123444869,123451056,"	ABCB9	NM_203444.3	0	2636	2499.54	10.33	0.14	0.08	3.38	386.00	4.21	2.33
NM_001243013.1	12	-	123413538	123451056	123414457	123444782	11	"123413538,123416738,123419818,123424657,123428937,123430571,123433170,123434334,123434997,123444181,123450833,"	"123414718,123416875,123419978,123424831,123429066,123430769,123433376,123434465,123435112,123444869,123451056,"	ABCB9	NM_001243013.1	0	3341	3204.54	36.13	0.39	0.21	9.22	386.00	4.21	2.33
NM_019624.3	12	-	123413538	123451056	123414457	123444782	11	"123413538,123416738,123419818,123424657,123425353,123430571,123433170,123434334,123434997,123444181,123450833,"	"123414718,123416875,123419978,123424831,123425542,123430769,123433376,123434465,123435112,123444869,123451056,"	ABCB9	NM_019624.3	0	3401	3264.54	21.61	0.23	0.13	5.42	386.00	4.21	2.33
NM_019625.3	12	-	123413538	123451056	123414457	123444782	12	"123413538,123416738,123419818,123424657,123425353,123428937,123430571,123433170,123434334,123434997,123444181,123450833,"	"123414718,123416875,123419978,123424831,123425542,123429066,123430769,123433376,123434465,123435112,123444869,123451056,"	ABCB9	NM_019625.3	0	3530	3393.54	270.88	2.75	1.52	65.30	386.00	4.21	2.33
NM_004996.3	16	+	16043433	16236930	16043608	16235138	31	"16043433,16101672,16103632,16108347,16110352,16126965,16130328,16138306,16139692,16141998,16146580,16149948,16162012,16165498,16170182,16173208,16177222,16180680,16184261,16196483,16200594,16205231,16208622,16215831,16218645,16219666,16225645,16228206,16230334,16232220,16235029,"	"16043656,16101849,16103758,16108485,16110478,16127027,16130460,16138537,16139870,16142160,16146673,16150152,16162159,16165586,16170258,16173335,16177399,16180848,16184445,16196574,16200730,16205439,16208933,16216031,16218772,16219768,16225792,16228365,16230501,16232415,16236930,"	ABCC1	NM_004996.3	1	6563	6426.54	7650.00	40.98	22.65	100.00	7650.00	40.98	22.65
NM_001198934.1	6	+	43395291	43418163	43395716	43417829	22	"43395291,43395705,43399879,43402358,43403488,43403875,43405671,43406361,43409599,43410707,43411670,43411896,43412525,43412862,43413336,43414014,43414985,43415421,43416618,43416844,43417159,43417666,"	"43395495,43395877,43401098,43402586,43403645,43403985,43405751,43406533,43409698,43410897,43411748,43412091,43412676,43413052,43413680,43414184,43415146,43415675,43416764,43416942,43417272,43418163,"	ABCC10	NM_001198934.1	1	5028	4891.54	1311.59	9.23	5.10	67.70	1945.00	13.63	7.54
